Name,Date,Is Weekend?,Unique,Male,Female,Final Count,Keywords,Genre,Attending,Interested,Declined,Maybe,Post Consumptions,Post Impressions,Post Impressions Paid,Post Impressions Paid Unique,Post Engaged Fan,Post Engaged Users,Post Negative Feedback,Post Stories,Post Storytellers,Page Post Engagements,Page Posts Impressions,Post Interests Impressions,Post Interests Consumptions,Page Story Adds,Post Reactions Like Total,Post Reactions Wow Total,Post Reactions Love Total,Post Reactions Haha Total,Post Reactions Sorry Total,Post Reactions Anger Total,Post Video Views,Description,EVALUATION?
Kizomba vs. Salsa,"2/23/2018, 9:30:06 PM",1,82,18,60,78,"latin, salsa, dance, class, kizomba, soinkiz",latin,33,182,,,,,,,,,,,,,,,,,,,,,,,,"Southern Indiana Kizomba & Serendipity Martini Bar bring you a night of Kizomba & Latin dancing! Come dance to many styles of music, enjoy a drink, and have a good time! Everyone is invited❗ FREE Cover ❗ 18+ FREE Beginner Kizomba Lesson at 9:00 pm with Kathleen Kolumban featuring DJ Good Peoples & Jeff Slone ➤ Kizomba, Urban Kiz, Tarraxhina, Semba ➤ Latin, Bachata, Salsa, Cumbia, Raggaeton Drink Specials: Cash only bar $2 Coronas $6 Margaritas  Southern Indiana Kizomba is a community dance organization! We promote Kizomba and other dances in and around the region. Join us if you want to have some fun!
www.facebook.com/SoInKiz/",
Carnaval,"2/10/2018, 8:53:29 PM",1,313,109,99,208,"benefit, latin, dance, cover",latin,52,235,,,,,,,,,,,,,,,,,,,,,,,,"🇨🇴 ️  ️Good People of Btown! 🇨🇴 ️  Are you ready to party  for Carnaval?! Join us for this one-of-a-kind Colombian street party. Cover charge will contribute to \""De Pueblo a Pueblo\"" fund to help rebuild Puerto Rico, the U.S. Virgin Islands and Mexico! (http://depuebloapueblo.com/) 🌴️ Dance party featuring Colombian carnaval music plus salsa, bachata, reggaeton, rumba, cumbia and more! 📯  18 yrs. and up 🎵  Cash only 🍹   🎷  $2 Coronas, plus drink specials 🍻    
 🌴️  Empanadas Colombianas!  Presented by ILIASA (International Latin and Ibero-American Student Association) & Buena Vibra Social Club. Thank you to the IU Department of Folklore & Ethnomusicology for contributing to this event!
",
Latin Night,"2/2/2018, 9:49:30 PM",1,79,25,17,42," dance, latin, cover",latin,8,58,,,,,,,,,,,,,,,,,,,,,,,,"Come join us for a night of dancing to you're favorite Latin songs.
$2 Coronas
$6 Margaritas",
Motown Mondays,"1/29/2018, 9:49:50 PM",0,12,5,7,12,"Troll, Motown",electronic,7,17,,,,,,,,,,,,,,,,,,,,,,,,1/2 Price Martinis by legendary bartender Doug Spradley Motown DJ set by Troy Michael,
Puerto Rican dance night,"1/27/2018, 8:21:45 PM",1,277,91,101,192,"Puerto Rican Night, latin, dance, benefit, cover",latin,87,264,,,,,,,,,,,,,,,,,,,,,,,,"🇵🇷 🇵🇷 🇵🇷     Good People of Btown!     🇵🇷 🇵🇷 🇵🇷  Happy New Year! Join us for a hot night of LIVE salsa music and your favorite songs (I'll be deejaying, and will take your requests). $5 Cover charge contributes to \""De Pueblo a Pueblo\"" initiative  http://depuebloapueblo.com/ 🐸 18 yrs. and up 🐸  Cash only 🐸 $2 Coronas, plus drink specials 
",
L Balke - Stone Parachutes - Vallures,"9/7/2017, 10:53:01 PM",0,96,44,46,92,"Vallures, rock, stone parachutes, laura balke",rock,110,243,,,,,,,,,,,,,,,,,,,,,,,,,
Master Key - Wife Patrol - K Hogan,"9/7/2017, 10:52:49 PM",0,92,45,38,87,"rock, master key, wife patrol, kelly hogan",rock,110,243,,,,,,,,,,,,,,,,,,,,,,,,10:30 PM - Doors open. 11:00 PM - Master Key https://www.facebook.com/Master-Key-489164548097310/  11:55 PM - Wife Patrol https://wifepatrol.bandcamp.com 12:55 AM - Kelly Hogan For the festival's complete schedule: http://midwaymusicfestival.weebly.com/2017-festival-details.html,
KiWi - D Autumn - Lemondoza - Mad Pritch,"9/7/2017, 10:52:40 PM",0,105,42,53,95,"electronic, DJ, lemondoza, mad pritch, destiny autumn, kiwi",electronic,110,243,,,,,,,,,,,,,,,,,,,,,,,,,
Latin Night 9-24,"9/24/2017, 9:17:29 PM",0,129,68,52,129,"latin night, promoted, after party",latin,18,58,,,,,,,,,,,,,,,,,,,,,,,,,
Freak Heat Waves at Pioneer,"5/15/2018, 8:00:00 PM",0,0,0,0,0,,rock,19,47,0,28,0,3,0,0,0,1,0,1,1,,,,,,0,0,0,0,0,0,0,Freak Heat Waves bringing absurdist synth-pop down from Canada.  May 15 8pm 21+  Doors at 8pm  Support TBA  ››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹›››››››››››››››››››››››‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹‹  Freak Heat Waves In the two years since their last release  Freak Heat Waves have continued a perpetual process of transformation. Shedding familiar influences from the heavily excavated histories of post-punk and krautrock  the band has now beamed into uncharted territory with the otherworldly sound of their third album  Beyond XXXL.On this 11-song excursion  alien strains of synth-pop and glam-rock are sandblasted with smooth guitar solos  eerie electronics  and pulsating drum machines propelled into skull-shattering breakbeats. Deeply distorted vocals narrate the narcoleptic trip like a DJ Screw mixtape splicing together John Foxx  John Maus  and The Prodigy. The result is Freak Heat Waves’ most cohesive and captivating release to date  amplifying earlier melodic sensibilities while remaining singularly strange.   https://freakheatwaves.bandcamp.com/,
Handgrenades at Virginia Avenue Music Fest May 11,"5/11/2018, 11:30:00 PM",1,0,0,0,0,,rock,2,11,0,10,,,,,,,,,,,,,,,,,,,,,,Handgrenades are coming back to Indy for TWO performances at Virginia Avenue Music Fest! We're stoked to play one of our favorite fests of the year again!   The first set will be at Pioneer Indy  closing out Friday night of the Fest at 12:30am! Come get your Detroit on with us and get your socks rocked off.  After the show we'll be hitting The Brass Ring Lounge for some drinks. Come join us!,
"Borracho Caddies EP Release w/ The Trees, Robin Goodfellow","5/5/2018, 10:30:00 PM",1,0,0,0,0,,rock,11,20,0,20,0,347,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,Here to celebrate the latest EP culminating out of lo-fi surf group Borracho Caddies!  Backed by The Trees  & Robin Goodfellow  May 5 10:30pm $5 21+  ››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››› Borracho Caddies While walking home during a half day at school singer and guitarist Adrian Gomez noticed two drunk caddies on a golf course staggering down the hill and yelling at each other  the image resonated with no worries and a sign of success. Many years later the band Borracho Caddies emerged (borracho is Spanish for belligerent drunk).Moving to Indianapolis post college  Adrian formed the group with his close friends Jordan Willocks on drums and Ryan Webster on bass.  https://borrachocaddies.bandcamp.com/releases  The Trees  The Trees  are a four-piece rock band originating from Dan Stempky (Primary Rhythm Guitarist) and Riley Castellano (Primary Lead Guitarist). They soon added drummer Luke Farrow and bassist Will Bright. The Trees thrive on creating eclectic  imaginative rock songs that engage multiple styles of music and they most frequently perform around their hometowns in Central Indiana. https://borrachocaddies.bandcamp.com/releases  Robin Goodfellow Killed Hamnet according to Neil Gaiman. Has a penchant for love dust. https://robingoodfellowmusic.bandcamp.com/releases,
